时段 (Time),区域 (Zone)(Asset),乐章 (Beat)(Narrative),张力(1-10),核心目标 (Objective)(UI Guide),核心障碍 (Obstacle)(The Problem),关键获取 (Acquisition)(The Solution),能力验证 (Verification)(The Test),地图关键点 (POIs)(System/Secret)
,,,,,,,,,
,,,,,,,,,
========== Sheba星 前60分钟关卡方案 (5-10分钟颗粒度) ========== ,,,,,,,,,
"设计说明：以下5套方案为第三批设计方案，与前两批方案（钟摆/洋葱/双螺旋/潮汐/拼图 + 探索发现/叙事沉浸/双线叙事/生存极限）形成差异化互补。",,,,,,,,
"所有方案均基于已有的怪物/机关/叙事/锁钥体系设计。",,,,,,,,
"区域范围：Z1坠机冰原 → Z2叹息峡谷 → Z3回音枢纽入口",,,,,,,,
"能力获取：基础移动(开局) → 星核·实弹/机枪 → 星核·涟漪/声波弹 → 光帆·相位(部分方案)",,,,,,,,
,,,,,,,,,
,,,,,,,,,
"【方案一：螺旋上升型 — The Ascent】",,,,,,,,
"设计理念：像登山一样，每次战斗后回落到较低点休息，但每次休息的起点都比上次更高。整体呈螺旋式上升，终点达到最高峰。",,,,,,,,
"参考游戏：《Celeste》难度递增 + 《Dark Souls》篝火之间的节奏 + 《Hollow Knight》区域解锁感",,,,,,,,
"核心节奏公式：[平台期i] → [跳跃期i+1] → [回落期i] → [平台期i+1(更高起点)] → 循环",,,,,,,,
,,,,,,,,,
时段 (Time),区域 (Zone)(Asset),乐章 (Beat)(Narrative),张力(1-10),核心目标 (Objective)(UI Guide),核心障碍 (Obstacle)(The Problem),关键获取 (Acquisition)(The Solution),能力验证 (Verification)(The Test),地图关键点 (POIs)(System/Secret)
"0:00-8:00
(480s)","Z1a. 坠机冰原
(Linear Tutorial)","P1-F. 基地
(Base Camp)",3,"从坠机中恢复
建立基本能力","[环境] 坠机后的冰原，有明显的路径指引。
[敌人] 仅2只休眠的碎晶爬行者(可绕过或击杀)。
[教学] 分段解锁移动能力：走→跑→冲刺→跳→二段跳。
[引导] 远处有信标光柱指向星图补给仓。","[基础移动]
(冲刺/跳跃/二段跳)
渐进解锁
每60s解锁一个","【验证：渐进式能力解锁】
1. 0-60s：只能移动 → 到达第一个补给点
2. 60-120s：解锁冲刺 → 跨越第一个冰裂缝
3. 120-180s：解锁跳跃 → 越过低矮障碍
4. 180-240s：解锁二段跳 → 到达高地
5. 高地上有星图补给仓","[锚点A] 坠机点(可返回)。
[教学] 4阶段渐进解锁(每60s一个)。
[叙事] N-01触发：伊恩系统检查。
[设计意图] 第一个平台期——建立安全感。"
