时段 (Time),区域 (Zone)(Asset),乐章 (Beat)(Narrative),张力(1-10),核心目标 (Objective)(UI Guide),核心障碍 (Obstacle)(The Problem),关键获取 (Acquisition)(The Solution),能力验证 (Verification)(The Test),地图关键点 (POIs)(System/Secret)
0-15m,"Z1. 坠机冰原
(Linear)",P1. 失声,3,逃离坠毁点,[地形] 巨大的冰裂缝与落石，无法徒步通过。,"[基础移动]
(冲刺/跳跃)","【验证：机动】
利用冲刺躲避落石，二段跳越过深坑。","[锚点A]
坠机点维修台。"
15-45m,"Z1. 坠机冰原
(Linear)",P2. 噪音,6,寻找武器自卫,[敌人] 晶体硬壳怪。外壳坚硬，单发攻击无效，且会扑脸。,"[星核：实弹]
(机枪)","【验证：热量管理】
按住左键持续输出打破硬壳（教学过热机制）。","[秘密]
悬崖对岸的宝箱（需后期光帆）。"
45-60m,"Z2. 叹息峡谷
(Choke Point)",P3. 叹息墙,8,突破音障,"[机制] 声波玻璃墙。物理免疫，完全挡路。
[威胁] 追击的精英怪。","[星核：涟漪]
(声波弹)","【验证：环境解谜】
装备[涟漪]，射击旁边的共振水晶，引发连锁震碎墙壁。","[锚点B]
谷口商店。
[硬锁] 地下门。"
60-90m,"Z3. 回音枢纽
(Hub)",P4. 回音谷,4,激活中央电梯,[敌人] 盾牌鸣钟者。正面无敌，还会发射穿透波。,"[辅助：穿透]
(声波自带特性)","【验证：隔墙杀】
利用声波的穿墙特性，躲在掩体后击杀盾牌怪。","[锚点C]
核心基地。
[支线] 震碎地板拿HP。"
90-120m,"Z4. 孵化深渊
(Dungeon)",P5. 代价,9,在暴动中存活,[陷阱] 高频音波阵。满屏红线，无死角，触之即伤。,"[光帆：相位]
(冲刺无敌)","【验证：无敌帧】
必须迎着红线冲刺，利用无敌帧穿过伤害区。","无存档点！
[秘密] 风险废料堆。"
120-150m,"Z5. 静谧花园
(Safe Room)",P6. 转折,2,寻找声音源头,[精英] 痛苦长老。血量极厚，狂暴攻击，击杀收益低（惩罚）。,"[棱镜：温柔]
(安抚/解析)","【验证：安抚收益】
装配温柔棱镜，将长老“解析”为光点，获得稀有奖励。","[锚点D]
休息区。
[捷径] 电梯回Z3。"
150-200m,"Z1~Z3 (重访)
(Backtrack)",P7. 净化,5,净化通往塔顶的路,"[混合] 自爆怪 + 穿墙怪。
敌人数量压制。","[伴星：微型钟]
(自动防御)","【验证：综合应对】
利用伴星自动挡子弹，同时切换武器清理混合兵种。","[回溯]
回Z1拿秘密宝箱。
[支线] 100%净化度。"
200-240m,"Z6. 钟楼之巅
(Arena)",P8. 终焉,10,平息钟楼,"[BOSS] 哭泣的钟楼。
拥有上述所有机制。",[星图碎片：示巴],"【BOSS战 - 综合考卷】
P1走位(光帆) -> P2破墙(涟漪) -> P3净化(温柔)。","[结局]
离开星球。"
,,,,,,,,
,,,,,,,,
========== 以下为前一小时关卡详细设计方案 (Sheba 0-60min) ==========,,,,,,,,
"说明：以下5套方案覆盖玩家登陆示巴星后的前60分钟体验，颗粒度为5-10分钟一个时段。",,,,,,,,
"所有方案均基于已有的怪物/机关/叙事/锁钥体系设计，确保引用一致。",,,,,,,,
"区域范围：Z1坠机冰原 → Z2叹息峡谷 → Z3回音枢纽入口（部分方案）",,,,,,,,
"能力获取范围：基础移动(开局) → 星核·实弹/机枪 → 星核·涟漪/声波弹 → 辅助·穿透(声波自带)",,,,,,,,
,,,,,,,,
,,,,,,,,
"【方案一：钟摆型 — The Pendulum】",,,,,,,,
"设计理念：张力像钟摆一样在高低之间有规律地摆动(8→3→8→3→8→3)，每10分钟一个完整摆幅周期。玩家永远知道下一波高潮即将来临，形成可预期的节奏感。",,,,,,,,
"参考游戏：《DOOM Eternal》战斗竞技场节奏 + 《塞尔达·旷野之息》神庙内外交替",,,,,,,,
"核心节奏公式：[10min高压战斗] → [5min低压探索/叙事] → 循环",,,,,,,,
,,,,,,,,
时段 (Time),区域 (Zone)(Asset),乐章 (Beat)(Narrative),张力(1-10),核心目标 (Objective)(UI Guide),核心障碍 (Obstacle)(The Problem),关键获取 (Acquisition)(The Solution),能力验证 (Verification)(The Test),地图关键点 (POIs)(System/Secret)
"0:00-5:00
(300s)","Z1a. 坠机冰原
(Linear Gauntlet)","P1-A. 坠落
(Crash Landing)",8,"在崩塌中逃生
到达第一个高地","[环境] 坠机引发连锁冰崩——地面持续塌陷，玩家脚下的平台有3秒存活倒计时(闪烁提示)。
[敌人] 碎晶爬行者x3在逃跑路线上伏击(不可避战)。
[地形] 单向下坡滑冰道，中间有跳跃间隙。","[基础移动]
(冲刺/跳跃/二段跳)
开局自带","【验证：快速反应+机动】
1. 冰面崩塌提供紧迫感 → 不能停
2. 滑冰道上的碎晶爬行者需要跳跃越过(此时无武器,只能躲)
3. 三段跳跃间隙考验二段跳节奏
4. 最后一个大跳需要冲刺+二段跳组合","[锚点A] 坠机残骸(不可返回)。
[叙事] N-01触发：伊恩惊慌通讯。
[环境] 冰崩粒子+屏幕震动。
[设计意图] 用环境威胁代替敌人，教学移动系统。"
"5:00-10:00
(300s)","Z1b. 风蚀高地
(Safe Plateau)","P1-A. 喘息
(Respite)",3,"探索高地
获取第一把武器","[无主动威胁] 高地上只有2只休眠的碎晶爬行者(蜷缩状态,不主动攻击)。
[环境叙事] 散落的鸣钟者遗物——破碎的乐器、凝固的音符晶体。
[引导] 高地中央有一个发光的星图补给仓，旁边有操作台。","[星核：实弹]
(机枪)
星图补给仓中拾取
(剧情触发开启)","【验证：武器熟悉+自由试射】
1. 星图UI首次弹出 → 教学装备操作
2. 可以对休眠爬行者试射 → 它们被惊醒后逃跑(不攻击)
3. 射击冰柱 → 发现可以破坏环境物体
4. 自由探索高地边缘 → 俯瞰下方冰原全貌","[武器获取] 星图补给仓。
[叙事] 守夜人解释星图系统。
[秘密] 高地边缘的录音日志(鸣钟者遗言)。
[氛围] BGM切换为低沉弦乐。
[教学] 首次装备+试射。"
"10:00-20:00
(600s)","Z1c. 冰原战场
(Arena + Corridor)","P1-A. 噪音
(The Noise)",8,"穿越冰原到达峡谷入口","[敌人] 碎晶爬行者x5→x8→x10三波递增。波次间隔30秒。
[地形] 开阔冰原+散落的冰柱掩体。爬行者从四面八方涌来。
[机制] 第三波出现1只金色精英爬行者(血厚2倍,移速快1.5倍)。
[计时] 每波开始时屏幕边缘出现红色脉冲(警告)。","[无新获取]
(用实弹机枪
应对所有三波)","【验证：热量管理+走位】
1. 第一波(5只) → 可以站桩输出,教学持续射击
2. 第二波(8只) → 必须利用冰柱掩体,教学走位
3. 第三波(10只+精英) → 热量管理成为关键,过热=死
4. 精英爬行者需要引爆附近冰柱(环境杀伤)辅助击杀
5. 全灭后路径开放","[叙事] N-02触发：首次开火后远山变红。
[战斗] 三波递增设计。
[秘密] 战场角落的补给箱(需在波次间隙拾取)。
[精英] 金色爬行者(击杀掉落HP恢复)。
[设计意图] 第一个完整的战斗考验。"
