时段 (Time),区域 (Zone)(Asset),乐章 (Beat)(Narrative),张力(1-10),核心目标 (Objective)(UI Guide),核心障碍 (Obstacle)(The Problem),关键获取 (Acquisition)(The Solution),能力验证 (Verification)(The Test),地图关键点 (POIs)(System/Secret)
,,,,,,,,,
,,,,,,,,,
========== Sheba星 前60分钟关卡方案 (5-10分钟颗粒度) ========== ,,,,,,,,,
"设计说明：以下5套方案覆盖玩家登陆示巴星后的前60分钟体验，每5-10分钟为一个时段。",,,,,,,,
"所有方案均基于已有的怪物/机关/叙事/锁钥体系设计。",,,,,,,,
"区域范围：Z1坠机冰原 → Z2叹息峡谷 → Z3回音枢纽入口",,,,,,,,
"能力获取：基础移动(开局) → 星核·实弹/机枪 → 星核·涟漪/声波弹 → 光帆·相位(部分方案)",,,,,,,,
,,,,,,,,,
,,,,,,,,,
"【方案一：钟摆型 — The Pendulum】",,,,,,,,
"设计理念：玩家在高压下被迫迅速行动，通过倒计时与追击制造持续紧迫感。适合硬核向玩家，开场即高潮。",,,,,,,,
"参考游戏：《Dead Space》开场逃跑段 + 《Metroid Dread》EMMI追逐段",,,,,,,,
时段 (Time),区域 (Zone)(Asset),乐章 (Beat)(Narrative),张力(1-10),核心目标 (Objective)(UI Guide),核心障碍 (Obstacle)(The Problem),关键获取 (Acquisition)(The Solution),能力验证 (Verification)(The Test),地图关键点 (POIs)(System/Secret)
"0:00-3:00
(180s)","Z1a. 坠机点
(Cinematic -> Linear)","P1-A. 倒计时
(Countdown)",8,"逃离坠毁点
(限时3分钟)","[环境威胁] 飞船核心即将爆炸，冲击波从坠机点向外扩散（可视化红圈）。
[视野限制] 暴风雪导致能见度极低（后处理Vignette+粒子）。
[地形] 冰层不断崩塌，部分路径会在玩家经过后消失。","[基础移动]
(冲刺/跳跃/二段跳)
开局自带","【验证：机动+时机】
1. 冲击波可视化边缘逼近 → 必须持续向前跑
2. 冰柱崩落需要观察阴影提示 → 冲刺躲避
3. 断裂冰桥需要二段跳越过 → 操作窗口~1.5s","[锚点A] 坠机点（不可返回）。
[叙事] N-01触发：伊恩惊慌的通讯。
[动态] 冲击波边缘持续推进，BGM随距离变化。"
"3:00-8:00
(300s)","Z1b. 冰桥追逐
(Linear Corridor)","P1-A. 猎物
(Prey)",7,"在追击中存活
获取第一把武器","[敌人] 碎晶爬行者群（3-5只一波）。被爆炸声吸引，从冰墙中破出。
[地形] 狭窄冰桥+岔路口。主路安全但慢；侧路有补给但危险。
[追兵] 冲击波仍在远处推进（视觉压力）。","[星核：实弹]
(机枪)
在冰桥中段的坠毁补给舱中拾取","【验证：边退边打 + 热量感知】
1. 碎晶爬行者有再生盾 → 必须按住左键持续输出（教学热量）
2. 第一次过热会有明显的UI警告+伊恩语音提示
3. 岔路口选择：上方窄桥（无敌）vs 下方宽道（2只爬行者守护补给箱）","[武器获取] 补给舱（剧情触发+星图UI首次弹出）。
[叙事] N-02触发：首次开火后远山变红。
[秘密] 侧路冰洞中的录音日志（可选，有追兵风险）。
[风险/回报] 下方宽道的补给箱含额外HP恢复。"
