部件类型,数量估算,作用与理由,制作成本 (美术/程序),,,,,,,,,
I. 星核 (Cores),24 个,发射源。平均每个星球解锁 4 把新“枪”。这是构建的基础。,_____ (高),,,,,,,,,
II. 棱镜 (Prisms),40 个,修正器。数量必须最多，因为它们是产生“化学反应”的关键。,__ (低),,,,,,,,,
III. 光帆 (Sails),12 个,驾驶风格。相当于 12 种职业流派（高速流、擦弹流、站桩流等）。,___ (中),,,,,,,,,
IV. 伴星 (Satellites),14 个,自动化技能。作为战斗的补充和点缀。,___ (中),,,,,,,,,
总计,90 个,这是一个 2A 级独立游戏（如《哈迪斯》或《死亡细胞》初版）的标准体量。,,,,,,,,,,
,,,,,,,,,,,,
为了让玩家在前 24-30 小时内不感到厌倦，我们必须严格控制**“新鲜感释放速度”**。 原则：前期给核心（改变攻击方式），中期给棱镜（改变构建逻辑），后期给高阶光帆（改变操作流派）。,,,,,,,,,,,,
阶段,星球,估算时长,投放总数,光帆 (驾驶流派),其他部件详情,玩家流派体验 (Gameplay Archetype),,,,,,
新手期,1. 示巴星,4h,13,2 个,4 星核: 实弹/激光/散弹/波纹,【机动性抉择】,,,,,,
,,,"<font color=""green"">(+1)</font>",1. [初始] 标准帆 (平衡),6 棱镜: 基础数值与机制,玩家立刻面临选择：是求稳（用标准帆），还是追求高风险高回报的走位（用斥候帆+散弹枪贴脸）。,,,,,,
,,,,2. [解锁] 斥候帆 (高移速/低血量),1 伴星: 自动机炮,,,,,,,
拓展期,2. 机械坟场,4h,15,2 个,6 星核: 元素类,【攻防流派分化】,,,,,,
,,,"<font color=""green"">(+1)</font>",1. 重装帆 (站桩减伤/无法冲刺),6 棱镜: 手感类,开启**“坦克流”（重装帆+重机枪）与“冲撞流”**（脉冲帆+近战波纹）的玩法分歧。,,,,,,
,,,,2. 脉冲帆 (冲刺造成伤害),1 伴星: 拾取助手,,,,,,,
爆发期 I,3. 丛林星,5h,16,2 个,3 星核: 进阶变种,【输出环境博弈】,,,,,,
,,,"<font color=""red"">(-1)</font>",1. 悬浮帆 (无视地形减速),10 棱镜: 机制类,引入地形交互。悬浮帆让玩家在丛林沼泽如履平地；过载帆则提供了极致的“炮台模式”体验。,,,,,,
,,,,2. 过载帆 (射击时热量减半/移速减半),1 伴星: 辅助类,,,,,,,
爆发期 II,4. 深海星,5h,16,2 个,3 星核: 异象系,【操作乘区】,,,,,,
,,,"<font color=""red"">(-1)</font>",1. 幽灵帆 (冲刺无敌帧延长),10 棱镜: 诅咒类,为高玩准备阶段。幽灵帆鼓励**“擦弹流”，猎手帆鼓励“绕后刺客流”**。,,,,,,
,,,,2. 猎手帆 (背击必暴击),1 伴星: 攻击类,,,,,,,
高阶期,5. 核心都市,6h,16,2 个,4 星核: 重型武器 (3格),【打破物理规则】,,,,,,
,,,,1. 相位帆 (瞬移/穿墙),6 棱镜: 终极修正,相位帆允许玩家穿墙，彻底改变关卡攻略路线；反应堆帆允许玩家利用过热来回血。,,,,,,
,,,,2. 反应堆帆 (热量转护盾),4 伴星: 逻辑类,,,,,,,
终局,6. 遗落圣地,6h,14,2 个,4 星核: 传说级,【神化】,,,,,,
,,,,1. 时空帆 (时间停止),2 棱镜: 规则篡改,提供极其夸张的能力，作为通关奖励或隐藏挑战奖励。,,,,,,
,,,,2. 概念帆 (??? 开发者彩蛋),6 伴星: 强力跟随者,,,,,,,
总计,6 Planets,30h,90,12 光帆,24 核 / 40 棱 / 14 伴,全程都有新职业,,,,,,
,,,,,,,,,,,,
Total Builds=左武器×右武器×光帆×伴星,,,,,,,,,,,,
"2,700×2,700×12×14 =1,224,720,000 (12亿种组合)",,,,,,,,,,,,
,,,,,,,,,,,,
"棱镜组合数公式：H(n,k)=C(n+k_1,k)",,,,,,,,,,,,
"计算：n=40 (棱镜种类), k=2 (槽位)",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
单把武器总变化,,,,,,,,,,,,
"24 (星核)×820 (棱镜组合)=19,680 种配置",,,,,,,,,,,,
,,,,,,,,,,,,
假设：,,,,,,,,,,,,
1 次标准游玩 (Run) = 30 分钟。,,,,,,,,,,,,
30 小时目标 = 需要 60 次 充满新鲜感的 Run。,,,,,,,,,,,,
,,,,,,,,,,,,
我们要验证：能否凑出 60 个完全不同的流派？,,,,,,,,,,,,
,,,,,,,,,,,,
1. 核心流派 (Archetypes),,,,,,,,,,,,
以 24 个星核为基础，每个星核通常有 3 种极端的棱镜搭配法：,,,,,,,,,,,,
极致数值流：全堆伤害/射速（如：加特林）。,,,,,,,,,,,,
极致机制流：全堆分裂/反弹（如：全屏弹幕）。,,,,,,,,,,,,
异化流：利用特殊棱镜改变形态（如：子弹变大及缓慢）。,,,,,,,,,,,,
武器体验数 = 24*3=72种截然不同的射击体验}$。,,,,,,,,,,,,
,,,,,,,,,,,,
2. 驾驶乘区 (Pilot Multiplier),,,,,,,,,,,,
光帆（12个）决定了你的移动方式。,,,,,,,,,,,,
“冲刺流光帆” + “散弹枪” = 贴脸刺客玩法。,,,,,,,,,,,,
“不动如山光帆” + “散弹枪” = 炮台阵地玩法。,,,,,,,,,,,,
即使是同一把枪，换个引擎，玩法逻辑完全改变。我们保守估计，每个光帆能为武器提供 0.5 个新维度的体验。,,,,,,,,,,,,
总流派数 = 72 (武器)×(1+0.5×12 (光帆修正))=72×7=504 种流派。,,,,,,,,,,,,
,,,,,,,,,,,,
3. 最终验算,,,,,,,,,,,,
你需要：60 次新鲜体验。,,,,,,,,,,,,
你拥有：504 种显著不同的流派。,,,,,,,,,,,,
冗余系数：504/60=8.4,,,,,,,,,,,,
这意味着，玩家即使剔除了 80% 他不喜欢的流派（比如他讨厌近战），剩下的内容依然足够支撑他玩完 30 小时。,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
========== ULTIMATE INTEGRATED STAR CORE LIBRARY (100+ DESIGNS) ==========,,,,,,,,,,,,
ID,Category,Name,Archetype_Ref,Mechanic_Description,Visual_Feedback,Synergy_Tags,Heat_Cost,Dev_Complexity,,,,
1001,Kinetic,动能连发枪 (Kinetic Repeater),Assault Rifle,基础实弹武器;按住左键连发;弹道有飞行时间;随着持续射击准星轻微扩散;松开后快速回正,标准的黄色枪口焰;弹壳抛出;击中产生火花,High_Freq;Direct_Dmg,Low,Low,,,,
