ID,InternalName,DisplayName,SlotSize,AddHeat,LogicType,TargetStat,Operation,Param_1,Param_2,Description,,
2001,Prism_Frac_Split,分形棱镜·双生,1,5,SpawnModifier,None,None,2,15,增加2颗子弹,散射角15度。,
2002,Prism_Rheo_Speed,流变棱镜·极速,1,2,StatModifier,Speed,Multiply,1.5,0,提升50%的子弹飞行速度。,,
2003,Prism_Rheo_Giant,流变棱镜·巨像,1,10,StatModifier,Size,Multiply,2,0,子弹体积变为2倍,伤害增加（需代码配合）。,
2004,Prism_Tint_Frost,晕染棱镜·霜冻,1,4,BehaviorModifier,None,None,0,0,给子弹附加减速效果脚本。,,
2005,Prism_Frac_Barrage,分形棱镜·弹幕,2,15,SpawnModifier,None,None,5,30,强力分裂,增加5颗子弹,占用热量极高。
2006,Prism_Rheo_RapidFire,流变棱镜·连射,1,3,StatModifier,FireRate,Multiply,1.3,0,射速提升30%,最直觉的强化体验。,
2007,Prism_Rheo_HeavyRound,流变棱镜·重弹,1,4,StatModifier,Damage,Multiply,1.5,0,伤害提升50%,与连射形成trade-off选择。,
2008,Prism_Rheo_Longshot,流变棱镜·远射,1,2,StatModifier,Lifetime,Multiply,1.8,0,射程提升80%(延长存活时间),鼓励安全打法。,
2009,Prism_Frac_Burst,分形棱镜·三连发,1,6,SpawnModifier,None,None,3,5,三连发(散射角仅5度),接近直线的精准连射。,
2010,Prism_Rheo_Knockback,流变棱镜·冲击,1,3,StatModifier,Knockback,Multiply,2.5,0,击退力提升150%,搭配散弹枪可近身推人。,
2011,Prism_Rheo_LightLoad,流变棱镜·轻载,1,-3,StatModifier,HeatCost,Multiply,0.7,0,热量消耗降低30%,新手友好的热量管理辅助。,
2012,Prism_Tint_Burn,晕染棱镜·灼烧,1,5,BehaviorModifier,None,None,3,2,命中后点燃目标,每秒2点伤害持续3秒。,
2013,Prism_Rheo_Bounce,流变棱镜·反弹,1,4,BehaviorModifier,None,None,3,0,子弹碰墙反弹3次,狭窄走廊中封锁通道。,
2014,Prism_Frac_Volley,分形棱镜·齐射,1,8,SpawnModifier,None,None,2,0,同方向发射2颗重叠子弹(散射角0),纯粹翻倍伤害。,
2015,Prism_Rheo_Decelerate,流变棱镜·减速弹,1,1,StatModifier,ProjectileSpeed,Multiply,0.5,0,子弹飞行速度减半,慢子弹覆盖更大区域。,
2016,Prism_Rheo_MicroShot,流变棱镜·微缩,1,-2,StatModifier,ProjectileSize,Multiply,0.5,0,子弹缩小50%但减少热量,精准玩家的奖励。,
2017,Prism_Tint_Weaken,晕染棱镜·腐蚀,1,6,BehaviorModifier,None,None,5,15,命中后降低敌人15%防御持续5秒。,
