ID,InternalName,DisplayName,Family,SlotSize,HeatCost,FireRate,BaseDamage,BaseSpeed,BaseRange,Knockback,PrefabPath,IconPath,Description,,
1001,Core_Matter_MachineGun,实相·撕裂者,Matter,1,5,0.1,12,25,3,1,Projectiles/Matter_Bullet,Icons/Core_Gun,基础的实弹武器,手感扎实,射速快。
1002,Core_Light_Laser,光谱·聚焦透镜,Light,1,2,0.05,4,0,10,0,Projectiles/Light_Beam,Icons/Core_Laser,持续照射的聚焦光束,无飞行时间。,
1003,Core_Echo_SonicWave,波动·震荡环,Echo,1,8,0.5,20,15,5,5,Projectiles/Echo_Wave,Icons/Core_Wave,发射随时间变大的声波环,可穿透墙壁。,
1004,Core_Anomaly_Boomerang,异象·回旋镖,Anomaly,1,10,0.8,30,12,4,2,Projectiles/Anomaly_Boomerang,Icons/Core_Boom,发射后会飞回飞船的特殊弹药。,,
1005,Core_Matter_HeavyCannon,实相·死星主炮,Matter,3,40,2,150,10,20,50,Projectiles/Matter_Cannon,Icons/Core_Cannon,占用3格的重型武器,巨大的破坏力。,
1006,Core_Matter_Shotgun,实相·风暴散射,Matter,1,12,0.7,8,20,2.5,3,Projectiles/Matter_Shotgun,Icons/Core_Shotgun,近距离扇形散射(×5),高热量高爆发的贴脸武器。,
1007,Core_Light_PrismRay,光谱·棱光射线,Light,1,3,0.05,6,0,8,0,Projectiles/Light_PrismRay,Icons/Core_PrismRay,折射激光,持续照射时伤害递增。比聚焦透镜更宽但更短。,
1008,Core_Echo_PulseNova,波动·脉冲新星,Echo,1,15,1.2,35,8,3,8,Projectiles/Echo_PulseNova,Icons/Core_PulseNova,近程高伤爆发冲击波,范围极小但伤害爆炸。,
1009,Core_Matter_Gatling,实相·转管炮,Matter,2,3,0.06,8,30,4,0.5,Projectiles/Matter_Gatling,Icons/Core_Gatling,占2格的持续输出武器,射速极快单发伤害低。,
1010,Core_Anomaly_MineLayer,异象·布雷器,Anomaly,1,8,1.0,25,0,0,0,Projectiles/Anomaly_Mine,Icons/Core_Mine,在飞船当前位置释放浮游雷,敌人碰到引爆。,
1011,Core_Light_SplitBeam,光谱·裂变光束,Light,2,6,0.05,3,0,6,0,Projectiles/Light_SplitBeam,Icons/Core_SplitBeam,三叉激光,同时向前方及左右30°发射短程光束。,
1012,Core_Echo_Tremor,波动·余震,Echo,1,6,0.4,15,10,4,3,Projectiles/Echo_Tremor,Icons/Core_Tremor,抛射体飞到最大射程后原地爆炸为震荡波。,
