时段 (Time),区域 (Zone)(Asset),乐章 (Beat)(Narrative),张力(1-10),核心目标 (Objective)(UI Guide),核心障碍 (Obstacle)(The Problem),关键获取 (Acquisition)(The Solution),能力验证 (Verification)(The Test),地图关键点 (POIs)(System/Secret)
方案A 0-7m,Z1. 坠机冰原,"A1. 失声苏醒（生存高压开场）",6,离开坠机点并激活首个导航锚点,"[环境] 落石+静滞浮雷夹击，停留会被包夹。",[基础移动],【验证：机动】边退边打清浮雷并通过断层。,"坠机点维修台, 锚点A"
方案A 7-14m,Z1->Z2. 冰裂峡谷,"A2. 第一次反击",7,建立稳定火力穿过狭长峡谷,"[敌人] 碎晶爬行者再生盾，点射无效。",[基础射击],【验证：火力节奏】持续射击压制护盾后推进。,"L-01 单向跳下, 峡谷观景台"
方案A 14-22m,Z2. 共振峡谷,"A3. 学会聆听墙体",5,找到叹息之墙的破壁方法,"[机关] 声波玻璃墙物理免疫，正面输出无效。","[星核:涟漪]（Z2精英战）",【验证：环境联动】用共振点破墙开路。,"L-02 锁, 共振水晶点"
方案A 22-30m,Z2->Z3. 枢纽外环,"A4. 短回路奖励",4,拿到新星核后立刻开门并建立掌控感,"[地形] 双层高差+浮雷追踪，回头路效率低。",[星核:涟漪熟练使用],【验证：回声探路】揭示隐形落脚点快速穿越。,"枢纽西门, 临时补给点"
方案A 30-38m,Z3. 枢纽主厅,"A5. 压力回升：盾阵推进",7,突破圣歌守卫阵线并点亮东侧门控,"[敌人] 圣歌守卫正面免疫，配合浮雷形成推进墙。","[辅助:穿透]（知识锁提示）",【验证：读招+角度】找侧翼窗口穿透击杀。,"L-04 秘密裂缝, 枢纽主钟台"
方案A 38-46m,Z3 侧厅->相位长廊,"A6. 红线课程",8,穿过首段高频红线阵抵达深渊入口,"[机关] 红线周期扫描，触碰击退到起点。","[光帆:相位]（侧厅获取）",【验证：无敌帧】冲刺穿线并维持热量管理。,"L-03 锁, 相位校准室"
方案A 46-54m,Z4. 深渊上层,"A7. 生存与撤离",9,在混合兵团追击中打开回程电梯,"[复合] 水晶蜂群+守卫+地形坍塌，持续高压。","[捷径开关]（生锈电梯）",【验证：多线处理】前后威胁分配与撤离路线选择。,"L-07 闭环点, 深渊升降机"
方案A 54-60m,Z4->Z3 回环,"A8. 情绪着陆",3,回到枢纽并完成首小时结算,"[资源] 热量与生命低，若贪战易失败。",[首小时构筑定型],【验证：节奏转换】从高压战斗切到整理与规划。,"枢纽篝火点, 下一目标提示"
,,,,,,,,
方案B 0-8m,Z1. 坠机冰原,"B1. 寂静观察（探索开场）",2,低风险探索三处可视地标并收集背景信息,"[认知] 玩家不清楚示巴星规则，容易无目的游走。",[环境提示+语音引导],【验证：观察力】通过视觉/音频线索定位前进方向。,"坠机点, 远眺高台, 冻结残骸"
方案B 8-16m,Z1. 冰川裂缝带,"B2. 轻战教学",4,完成两场小规模遭遇熟悉基础战斗,"[敌人] 爬行者护盾回复，错误节奏导致拖战。",[基础射击+移动],【验证：控距】移动射击并避免被浮雷贴脸。,"L-01 跳下点, 侧路补给箱"
方案B 16-24m,Z2. 共振峡谷,"B3. 谜题驱动推进",5,解开叹息之墙并打开第一条分支路,"[机关] 墙体仅对特定频率响应。","[星核:涟漪]",【验证：解谜执行】先找共振点再回主路破墙。,"L-02 锁, 共振壁画"
方案B 24-32m,Z2 侧路->Z3 外缘,"B4. 奖励分支",4,探索可选支路拿到资源与叙事碎片,"[风险] 分支敌群密集，收益与损耗权衡明显。",[小型强化资源],【验证：风险评估】可选战斗与撤退决策。,"隐藏补给间, 半塌回廊"
方案B 32-40m,Z3. 枢纽主厅,"B5. 枢纽认路",6,建立对主枢纽拓扑的空间记忆,"[拓扑] 多门多层结构，迷路概率高。",[地图标记激活],【验证：空间导航】从西门到东门不走回头路。,"主钟台, 东侧门控, 地下裂缝"
方案B 40-48m,Z3 侧厅,"B6. 机制进阶",7,取得光帆并通过首段相位训练场,"[机关] 红线+高差复合，错误时机会连锁受击。","[光帆:相位]",【验证：相位熟练】连续两次成功穿线过关。,"相位校准室, L-03 入口"
方案B 48-56m,Z4. 深渊入口,"B7. 高压试炼",8,在混合兵团压迫下抵达电梯开关,"[敌群] 前盾后雷，节奏断裂即崩盘。","[捷径开关]（L-07）",【验证：构筑应对】用当前构筑处理复合威胁。,"深渊桥, 电梯机房"
方案B 56-60m,Z3. 枢纽回环,"B8. 回报时刻",3,解锁回环捷径并给出下一阶段目标,"[节奏] 玩家倾向继续硬推，可能忽略补给整理。",[回环安全区],【验证：探索闭环】理解捷径价值并主动回补。,"枢纽营地, 下一步主线标记"
,,,,,,,,
方案C 0-8m,Z1. 坠机冰原,"C1. 声音被夺走",1,以叙事步行段建立情绪与世界规则,"[氛围] 低反馈容易让玩家误判为无内容。",[伊恩/守夜人分层语音],【验证：情绪进入】玩家能复述“噪音=危险”规则。,"坠机驾驶舱, 冻霜风暴区"
方案C 8-16m,Z1. 冰原前哨,"C2. 第一声枪响",5,通过首战触发“噪音唤敌”叙事点,"[敌人] 开火后增援出现，战场压力突增。",[基础射击],【验证：读战场】控制开火窗口避免被包围。,"前哨残骸, 警报塔"
方案C 16-24m,Z2. 共振峡谷,"C3. 与墙对话",4,从失败尝试中学习非暴力破障逻辑,"[机关] 暴力输出无效，玩家挫败感上升。","[星核:涟漪]",【验证：认知转变】主动寻找“共振点”而非硬打。,"叹息之墙, 共振井"
方案C 24-32m,Z2->Z3 过渡桥,"C4. 短暂安宁",3,用低压路段消化新机制并投喂剧情,"[节奏] 过低刺激会掉专注。",[可选叙事收集],【验证：主动探索】完成1处可选叙事点。,"壁画廊道, 纪念碑"
方案C 32-40m,Z3. 枢纽主厅,"C5. 合唱遗迹",6,建立“宏伟但衰败”的情绪峰值并开东门,"[战斗] 圣歌守卫阻断主路，正面无效。","[辅助:穿透]（知识锁强化）",【验证：机制混用】穿透+走位打破盾阵。,"主钟台全景, L-04 秘密"
