时段 (Time),方案 (Scheme),区域 (Zone)(Asset),乐章 (Beat)(Narrative),张力(1-10),核心目标 (Objective)(UI Guide),核心障碍 (Obstacle)(The Problem),关键获取 (Acquisition)(The Solution),能力验证 (Verification)(The Test),地图关键点 (POIs)(System/Secret)
0-8m,方案A,Z1. 坠机冰原,A1. 失声苏醒,3,恢复推进并离开坠机坑,[环境] 低温减速区与碎晶爬行者骚扰,[基础移动],【验证：机动】边退边打清雷区,"坠机维修台, L-01断层"
8-15m,方案A,Z1->Z2 断层边缘,A2. 噪音即威胁,5,学习持续火力压制护盾怪,[敌人] 碎晶爬行者再生盾在停火后瞬回,开局星核基础射击思路更新,按住射击连续破盾并管理热量,冰川断层跳下点
15-23m,方案A,Z2. 峡谷入口,A3. 墙会呼吸,6,识别叹息之墙并找到同频解法,[机关] 正面攻击无效且走廊有静滞浮雷,[星核：涟漪] 预告,环境提示：共振水晶,L-02 叹息墙前训练场
23-30m,方案A,Z2. 守门战厅,A4. 第一次夺回声音,7,击败守门怪并获取涟漪,[战斗] 圣歌守卫(盾)+浮雷双线压迫,获得[星核：涟漪],用涟漪一枪开墙形成短回路,涟漪祭坛
30-38m,方案A,Z2->Z3 枢纽门厅,A5. 结构展开,4,抵达枢纽并点亮首个检查点,[导航] 三向分叉造成路径焦虑,解锁小地图首层与休整点,识别主线门(L-03)与两条支线差异,枢纽主钟台
38-46m,方案A,Z3. 侧厅与地下裂缝,A6. 知识锁提示,5,完成一次软锁秘密并建立回溯心智,[秘密] 地板无交互提示(L-04)容易错过,声波探路习惯与轻资源奖励,用涟漪显形隐藏路并拿补给,地下裂缝秘室 (L-04)
46-53m,方案A,Z3. 东侧红线廊道,A7. 相位试炼前奏,7,在高频红线前完成安全区读秒通过,[灾害] L-03红线周期快且失误弹回,获得[光帆：相位],冲刺无敌帧穿线三连成功,红线阀门 (L-03)
53-60m,方案A,Z3->Z4 深渊入口,A8. 不可回头,8,滑入深渊并完成首场撤离战,[承诺] 单向滑坡+蜂群追击,开启Z4入口并预埋返程捷径线索,保持移动同时清后排避免被包围,滑坡闸门与L-07远望
0-8m,方案B,Z1. 坠机冰原,B1. 冷启动探索,2,低压熟悉镜头与移动手感,[地形] 冰面惯性与窄桥坠落风险,[基础移动],低张力平台跳跃通过连续三坑,"破舱观景点, L-05远景"
8-16m,方案B,Z1. 外环可选岔路,B2. 第一份好奇心奖励,3,引导玩家先拿到一处可见不可达宝箱线索,[路径] 正路与可疑支路并存,收集提示物：地图涂鸦与残碑,记住回溯点而非强行获取,高台宝箱眺望点
16-24m,方案B,Z2. 峡谷回音段,B3. 听觉解谜教学,5,通过声波触发机关连续开两门,[机关] 叹息墙+隐形回音路组合,获得[星核：涟漪],声波探路后3秒内完成冲刺过桥,回音桥桩
24-31m,方案B,Z2. 守门战厅,B4. 短促高峰,7,完成一次中强度精英战,[敌人] 圣歌守卫顶盾推进压空间,获取涟漪并掉落补给模组,绕侧+声波破防完成击杀,守门钟龛
31-39m,方案B,Z3. 枢纽中庭,B5. 节奏回落与叙事,4,在安全区接收N-05背景叙事,[信息] 分支过多导致决策迟疑,获得清晰路标：主线东侧危险提示,玩家能主动选择一条支线再回中庭,枢纽中央长椅
39-47m,方案B,Z3. 地下秘密链,B6. 知识锁正反馈,5,完成一条两段式秘密链,[解谜] 需观察微光地板并声波验证,获得资源包与Lore碑文N-06,无战斗状态下也能完成探索闭环,裂缝墓穴 (L-04)
47-54m,方案B,Z3. 相位侧厅,B7. 能力跃迁,6,以轻战斗获取[光帆：相位],[战斗] 红线+浮雷混合迫使节奏切换,获得[光帆：相位],以相位穿越红线并零受伤离场,相位装置
54-60m,方案B,Z3->Z4 入口回环,B8. 以捷径收束首小时,6,开通Z4前置门并看到未来捷径开关,[拓扑] 新能力让旧路可重访但时间有限,点亮通往Z4的单向门并标记返程路,完成一次小回溯拿到早期宝箱,深渊前厅与L-07远景
0-7m,方案C,Z1. 坠机冰原,C1. 即刻求生,5,在资源紧缺下清理首波混合兵团,[战斗] 浮雷追击+爬行者压前线,学会热量阈值与掩体换弹节奏,不超热击杀全部敌人并保留半血以上,坠机防线
7-15m,方案C,Z1. 冰缝通道,C2. 追击压迫,6,边移动边战斗穿过长通道,[关卡] 狭窄地形使走位错误成本高,强化边退边打与优先级击杀,先清浮雷后清近战群,冰缝补给箱
15-23m,方案C,Z2. 叹息墙外环,C3. 火力转译,6,在战斗中学习机关解法,[复合] 战斗中需抽空击打共振点,获得[星核：涟漪],在30秒压力波次里开门成功,共振柱环 (L-02)
23-30m,方案C,Z2. 守门战厅,C4. 小Boss节拍,8,击败守门组合并拿核心能力,[敌人] 圣歌守卫+蜂群扇形包抄,获得[星核：涟漪],声波显形后优先破阵完成反打,守门祭坛
30-38m,方案C,Z3. 枢纽战备区,C5. 短休整后再上压,5,补给与改装后立即进入下一战,[资源] 选择错误会导致后续容错低,获得一次星图调整机会,依据即将到来的红线战配置部件,战备终端
38-46m,方案C,Z3. 红线试炼廊,C6. 高压机动考,8,在持续扫描中穿线并反击远程怪,[环境杀] 触线即重置并被追兵夹击,获得[光帆：相位],三段冲刺穿线+反身清怪,红线阀门 (L-03)
46-53m,方案C,Z3->Z4 滑降段,C7. 失控下坠战,9,在单向下坠中处理多方向来敌,[结构] 无回头路且镜头压迫感强,建立危机时优先活命而非全清,保持移动并活着抵达底平台,深渊滑降井
53-60m,方案C,Z4. 深渊前厅,C8. 逃出生天,7,启动临时电梯并守住撤离点,[据点战] 蜂群分三波从四角进场,开通返程捷径伏笔 L-07,在限定时间守点成功后离场,锈蚀电梯控制台
0-8m,方案D,Z1. 坠机冰原,D1. 静默叙事开场,2,通过环境叙事建立示巴星基调,[氛围] 几乎无音乐易造成无聊风险,触发N-01通讯并给出明确前进目标,玩家可复述当前任务与风险,坠机黑匣子
8-15m,方案D,Z1. 风蚀遗迹边,D2. 第一次开火的罪感,4,让玩家在最少敌人中理解开火代价,[叙事战斗] 枪声触发环境变色与怪物苏醒,触发N-02并建立噪音规则,玩家主动选择压枪或潜行绕行,风蚀石阵
15-23m,方案D,Z2. 叹息墙前厅,D3. 说话而非击碎,5,用解谜替代纯战斗推进,[机关] 叹息墙物理免疫造成挫败,获得[星核：涟漪],利用同频机制开门并触发N-03,N-03共振墙 (L-02)
23-31m,方案D,Z2. 涟漪祭坛,D4. 能力即语言,6,通过仪式化获取强化世界观,[流程] 获取后若无即时应用会失焦,获得[星核：涟漪]并立刻开第二堵墙,5秒内完成拿取到首次实战,N-04祭坛
31-39m,方案D,Z3. 枢纽中庭,D5. 文明遗骸,4,以观景与对话承接上一高点,[叙事] 信息量过大可能拖节奏,触发N-05并开放可选Lore点,玩家完成一次主动调查并返回主线,管风琴山脉观景台
39-47m,方案D,Z3. 地下墓穴,D6. 恐惧安静,5,在低敌压下完成一次恐怖感探索,[体验] 光照低+音效稀薄增加迷路概率,获得N-06碑文与补给,声波探路定位出口并无死亡离开,隐藏墓穴 (L-04)
47-54m,方案D,Z3. 相位侧厅,D7. 从理解到执行,7,通过一场中强度战斗夺得相位能力,[战斗] 红线与守卫形成双重时机压迫,获得[光帆：相位],无敌帧穿线并反打守卫,相位侧厅
54-60m,方案D,Z3->Z4 深渊门,D8. 戏剧性下潜,8,以单向滑入完成首小时戏剧收束,[结构] 不可回头引发心理压力,触发N-07开场并预告深渊主题,在撤离中保持队形与资源余量,深渊门闸 (L-03)
0-8m,方案E,Z1. 坠机冰原,E1. 机动先行,4,连续平台动作教学并弱战斗点缀,[地形] 冰面惯性+断桥连跳,开局机动教程强化,连续完成冲刺+跳跃+折返三组动作,断桥训练环
8-16m,方案E,Z1. 追风走廊,E2. 速度就是安全,5,在计时压力下穿越崩塌廊道,[追击] 落石与浮雷逼迫不停移动,获得加速补给与路线记忆,90秒内到达终点且不中断移动,追风计时门
16-24m,方案E,Z2. 回音栈桥,E3. 跑酷解谜混合,6,边跑边用声波显形平台,[机关] 隐形回音路仅显形3秒,获得[星核：涟漪],连续三次显形成功不中断节奏,回音栈桥 (L-02支路)
24-31m,方案E,Z2. 守门短战,E4. 短平快战斗,7,以高机动打穿短时波次,[敌人] 盾怪顶线限制移动半径,获得[星核：涟漪]并立刻开门,20秒内破盾并处决守门怪,守门鼓室
31-39m,方案E,Z3. 枢纽机动环,E5. 技能冷却管理,5,在非战斗中练习冲刺节奏与路径规划,[系统] 误用冲刺导致容错骤降,获得一次冷却缩短临时增益,无战斗完成三环跑图并回中庭,枢纽风道
39-46m,方案E,Z3. 红线走廊,E6. 相位毕业考,8,在高速状态下穿越多段红线阵,[环境] 红线节拍不同步容易误判,获得[光帆：相位],三段异步红线一次通过,红线阀门 (L-03)
46-54m,方案E,Z3->Z4 滑降通道,E7. 高速追逃,8,在下坡滑降中执行回头清怪动作,[战斗] 后方蜂群追击与前方落点陷阱,形成高速战斗手感闭环,保持前进并完成两次180度反打,深渊滑道
54-60m,方案E,Z4. 前厅试炼,E8. 首小时冲刺收官,7,激活前厅装置后完成计时生存,[机制] 场地缩圈+四角刷怪,点亮Z4首检查点并留返程钩子,在60秒内存活且保持机动输出,深渊前厅钟环
