========== Ê¾°ÍÐÇ (Sheba) ÍêÕû¹Ø¿¨ÌåÑéÉè¼Æ ==========,,,,,,,,
×ÜÊ±³¤Ô¼5Ð¡Ê±(300·ÖÖÓ) | ½á¹¹ÈýÄ»ÎåÕÂ | Ë«ÂÝÐýÐÍ(Õ½¶·ÏßxÐðÊÂÏß½»Ö¯ÉÏÉý),,,,,,,,
,,,,,,,,
¡¾ÕûÌå¼Ü¹¹¸ÅÀÀ¡¿,,,,,,,,
µÚÒ»Ä»£º²»Ð­ºÍÒô(Dissonance)Ô¼90min ¡ª ´ÓÔëÒôÈëÇÖÕßµ½¿ªÊ¼Àí½âÊÀ½ç,,,,,,,,
ACT1 ×¹ÂäÓë¾õÐÑ(0:00-50:00) Z1×¹»ú±ùÔ­ | Ë«ÎäÆ÷+»ù´¡Õ½¶· | µÐÈË=×ßµ÷Òô·û,,,,,,,,
ACT2 Ì¾Ï¢µÄÏ¿¹È(50:00-90:00) Z2Ì¾Ï¢Ï¿¹È | Á°äô+»·¾³½âÃÕ | ´ó¾²Ä¬ÕæÏà³õ¿ú,,,,,,,,
µÚ¶þÄ»£º¸ßÉÕ×´Ì¬(Fever State)Ô¼100min ¡ª ÄÑ¶ÈÅÊÉý+ÐÂµÐÈË+µÀµÂÑ¡Ôñ,,,,,,,,
ACT3 »ØÒôÊàÅ¦(90:00-190:00) Z3»ØÒô´ó½ÌÌÃ | Àâ¾µ+¹â·«+µ÷ÂÉ¾»»¯ | Ö¸»Ó¼Ò¹ã²¥ÓëÎÄÃ÷ÕæÏà,,,,,,,,
µÚÈýÄ»£ºÖÕÖ¹Ê½(The Cadence)Ô¼110min ¡ª ÊÀ½ç±ÀÀ£+×îÖÕ¶Ô¾ö,,,,,,,,
ACT4 ·õ»¯ÉîÔ¨(190:00-250:00) Z4-Z5 | ×îºóÄÜÁ¦+µÀµÂ¾ñÔñ¸ß³± | ´ó¾²Ä¬ÕæÕýÆðÒò,,,,,,,,
ACT5 ¿ÞÆüÖÓÂ¥(250:00-300:00) Z6×îÖÕBoss | ÐÇ¼Ê¼´ÐËÇú¡ª¡ªÓÃËùÓÐÄÜÁ¦Íê³É×îºóºÏ×à,,,,,,,,
,,,,,,,,
¡¾ÐÇÍ¼²¿¼þ»ñÈ¡¹æ»®(¹²13¼þ)¡¿,,,,,,,,
ÕÂ½Ú,Ê±¼äµã,²¿¼þÀàÐÍ,Ãû³Æ,Éè¼ÆÓÃÒâ,,,,
ACT1 0:00,¿ª³¡×Ô´ø,ÐÇºËx2,Êµµ¯(»úÇ¹)+ÖØÅÚ(¸±ÎäÆ÷),»ù´¡Ë«ÎäÆ÷ÏµÍ³,,,,
ACT1 35:00,Õ½¶·½±Àø,Àâ¾µx1,·ÖÐÎÀâ¾µ¡¤Ë«Éú(2001),µÚÒ»¸ö¸Ä×°:×Óµ¯+2,,,,
ACT2 55:00,¾«Ó¢µôÂä,ÐÇºËx1,Á°äô(Éù²¨µ¯),ºËÐÄÄÜÁ¦:»·¾³½âÃÕ+Éù²¨Õ½¶·,,,,
ACT2 80:00,Ì½Ë÷½±Àø,Àâ¾µx1,Á÷±äÀâ¾µ¡¤·´µ¯(2013),ÀûÓÃÏ¿¹È·´µ¯ÌØÐÔ,,,,
ACT3 110:00,ÐðÊÂÔùÓè,Àâ¾µx1,ÔÎÈ¾Àâ¾µ¡¤Ëª¶³(2004),¿ØÖÆ:¼õËÙÐ§¹û,,,,
ACT3 130:00,BossµôÂä,¹â·«x1,¹²Ãù¹â·«(×ÔÉè¼Æ),³å´ÌÊÍ·ÅºÍÐ³Éù²¨¾»»¯ºÚË®,,,,
ACT3 150:00,Ì½Ë÷½±Àø,°éÐÇx1,×Ô¶¯»úÅÚ(4001),µÚÒ»¸ö°éÐÇ,,,,
ACT4 200:00,¾«Ó¢µôÂä,Àâ¾µx1,Á÷±äÀâ¾µ¡¤´©Í¸(2023),¶ÔÈºÉñÆ÷,,,,
