Total actions: 790
Draw calls: 262

  Idx  EventId Name                                      Indices    Verts  PS_CBuffers
------------------------------------------------------------------------------------------------------------------------
    0       22 22                                              6        6  uniforms55[_child0,_child1,_child2,_child3,_child4...]
    1       37 37                                              6        6  uniforms55[_child0,_child1,_child2,_child3,_child4...]
    2       52 52                                              6        6  uniforms13[_child0]
    3       68 68                                              6        6  uniforms60[_child0,_child1,_child2,_child3,_child4...]
    4       83 83                                              6        6  uniforms70[_child0,_child1,_child2,_child3,_child4]
    5       99 99                                              6        6  uniforms60[_child0,_child1,_child2,_child3]
    6      115 115                                             6        6  uniforms58[_child0,_child1,_child2]
    7      131 131                                             6        6  uniforms59[_child0,_child1,_child2]
    8      147 147                                             6        6  uniforms25[_child0,_child1,_child2,_child3,_child4...]
    9      163 163                                             6        6  uniforms67[_child0,_child1,_child2]
   10      179 179                                             6        6  
   11      195 195                                             6        6  uniforms56[_child0,_child1,_child2,_child3]
   12      211 211                                             6        6  uniforms56[_child0,_child1,_child2,_child3]
   13      227 227                                             6        6  uniforms57[_child0,_child1,_child2,_child3]
   14      242 242                                             6        6  uniforms13[_child0]
   15      258 258                                             6        6  uniforms60[_child0,_child1,_child2,_child3,_child4...]
   16      273 273                                             6        6  uniforms70[_child0,_child1,_child2,_child3,_child4]
   17      289 289                                             6        6  uniforms60[_child0,_child1,_child2,_child3]
   18      305 305                                             6        6  uniforms58[_child0,_child1,_child2]
   19      321 321                                             6        6  uniforms59[_child0,_child1,_child2]
   20      337 337                                             6        6  uniforms25[_child0,_child1,_child2,_child3,_child4...]
   21      353 353                                             6        6  uniforms67[_child0,_child1,_child2]
   22      369 369                                             6        6  
   23      385 385                                             6        6  uniforms56[_child0,_child1,_child2,_child3]
   24      401 401                                             6        6  uniforms56[_child0,_child1,_child2,_child3]
   25      417 417                                             6        6  uniforms57[_child0,_child1,_child2,_child3]
   26      432 432                                             6        6  uniforms13[_child0]
   27      448 448                                             6        6  uniforms60[_child0,_child1,_child2,_child3,_child4...]
   28      463 463                                             6        6  uniforms70[_child0,_child1,_child2,_child3,_child4]
   29      479 479                                             6        6  uniforms60[_child0,_child1,_child2,_child3]
   30      495 495                                             6        6  uniforms58[_child0,_child1,_child2]
   31      511 511                                             6        6  uniforms59[_child0,_child1,_child2]
   32      527 527                                             6        6  uniforms25[_child0,_child1,_child2,_child3,_child4...]
   33      543 543                                             6        6  uniforms67[_child0,_child1,_child2]
   34      559 559                                             6        6  
